Layer Name,Current Tool Type,Current Diameter/Angle,Current Operation,Correct Tool Type,Correct Diameter/Angle,Correct Operation,Notes
20MM,unknown,,unknown,,,,
20mmFreze,cylindrical,20,machining,,,,
30MM,unknown,,unknown,,,,
5MM,unknown,,unknown,,,,
5MM_CENTiK,unknown,,unknown,,,,
AciliV120,conical,120,v-cutting,,,,
BOTTOM_Ballnose_Finish,ballnose,6,finishing,,,,
BOTTOM_Lock_Pocket,cylindrical,10,pocketing,,,,
BOTTOM_Pocket_Hardware,cylindrical,10,pocketing,,,,
BOTTOM_Roughing_10mm,cylindrical,10,machining,,,,
BOTTOM_Special_Dovetail,unknown,,unknown,,,,
Ballnose_12,ballnose,12,finishing,,,,
CAMLIK30MM_SF,unknown,,unknown,,,,
CEP_ACMA,cylindrical,10,pocketing,,,,
CLEANCORNERS,unknown,,unknown,,,,
CLEANUP,unknown,,unknown,,,,
Cep_Acma,cylindrical,10,pocketing,,,,
Cep_Acma_Kose,cylindrical,10,pocketing,,,,
Cep_Acma_SF,cylindrical,10,pocketing,,,,
DEEPEND,unknown,,unknown,,,,
DEEPFRAME,unknown,,unknown,,,,
EDGE_Profile_2mm_Radius,radial,4,edge-profiling,,,,
Freze3mm,cylindrical,3,machining,,,,
H_Ballnose6mm_IC,ballnose,6,finishing,,,,
H_Desen_Dis,ballnose,3,pattern,,,,
H_Freze10mm_Dis,cylindrical,10,machining,,,,
H_Freze10mm_IC_SF,cylindrical,10,machining,,,,
H_Freze10mm_Ic,cylindrical,10,machining,,,,
H_Freze20mm_DIS,cylindrical,20,machining,,,,
H_Freze20mm_Ic_SF,cylindrical,20,machining,,,,
H_Freze5mm_Ic,cylindrical,5,machining,,,,
H_Freze_Ebatlama_ic,cylindrical,6,machining,,,,
K_AciliV,conical,90,v-cutting,,,,
K_AciliV135,conical,135,v-cutting,,,,
K_AciliV15,conical,15,v-cutting,,,,
K_AciliV30,conical,30,v-cutting,,,,
K_AciliV45,conical,45,v-cutting,,,,
K_AciliV60,conical,60,v-cutting,,,,
K_AciliV90,conical,90,v-cutting,,,,
K_AciliV_Pah,conical,90,v-cutting,,,,
K_BalikSirti,ballnose,6,finishing,,,,
K_Ballnose,ballnose,6,finishing,,,,
K_Ballnose6mm,ballnose,6,finishing,,,,
K_Cizgi,cylindrical,3,line-cutting,,,,
K_Desen,ballnose,3,pattern,,,,
K_Form,special,,forming,,,,
K_Freze,cylindrical,6,machining,,,,
K_Freze10mm,cylindrical,10,machining,,,,
K_Freze20mm,cylindrical,20,machining,,,,
K_Freze20mm_SF,cylindrical,20,machining,,,,
K_Freze5mm,cylindrical,5,machining,,,,
K_I_Kanal,cylindrical,6,grooving,,,,
K_JNotch,unknown,,unknown,,,,
K_Kanal,cylindrical,6,grooving,,,,
K_toolType,unknown,,unknown,,,,
Oyuk30,conical,30,v-cutting,,,,
PANEL,cylindrical,6,profiling,,,,
POCKET,cylindrical,10,pocketing,,,,
THINFRAME,unknown,,unknown,,,,
TOP_Ballnose_6mm,ballnose,6,finishing,,,,
TOP_Finishing_6mm,cylindrical,6,machining,,,,
TOP_Roughing_10mm,cylindrical,10,machining,,,,
TOP_VGroove_90deg,conical,90,v-cutting,,,,
V120,conical,120,v-cutting,,,,
V120PENCERE,unknown,,unknown,,,,
V45,conical,45,v-cutting,,,,
VIOLIN,unknown,,unknown,,,,
V_Oyuk,conical,90,v-cutting,,,,
V_Oyuk45,conical,45,v-cutting,,,,
_TN_,unknown,,unknown,,,,
